,aln,pars.site,tot.sites,pars.site.prop,rf.distance,rf.distance.coll,gc.cont
106,1195at8782-aln.nexus,1707,6096,0.280019685,30,29,0.417583639
107,11987at8782-aln.nexus,570,2151,0.264993026,32,24,0.474320823
108,11988at8782-aln.nexus,794,2364,0.335871404,56,53,0.532611956
109,11992at8782-aln.nexus,500,2160,0.231481481,60,45,0.475604842
110,11999at8782-aln.nexus,835,2514,0.332140016,44,43,0.571125406
111,12003at8782-aln.nexus,1095,3171,0.345316935,40,39,0.498006452
112,12030at8782-aln.nexus,887,2355,0.376645435,40,33,0.471062532
113,12045at8782-aln.nexus,2563,5493,0.466593847,48,46,0.618596879
114,12081at8782-aln.nexus,1878,3813,0.49252557,84,72,0.501787806
115,12109at8782-aln.nexus,2400,5652,0.42462845,88,81,0.596736393
116,12135at8782-aln.nexus,641,2379,0.269440942,64,57,0.495569126
117,12138at8782-aln.nexus,1305,3618,0.360696517,50,42,0.485076379
118,12147at8782-aln.nexus,817,2577,0.317035312,56,48,0.582989854
119,12195at8782-aln.nexus,1400,2694,0.519673348,58,48,0.404134033
120,12225at8782-aln.nexus,1124,3642,0.308621636,28,29,0.466078872
121,12226at8782-aln.nexus,931,3537,0.263217416,32,25,0.501843326
122,1222at8782-aln.nexus,2553,7386,0.34565394,30,29,0.481701211
123,12230at8782-aln.nexus,1435,3315,0.432880845,64,57,0.469082153
124,12287at8782-aln.nexus,907,2385,0.380293501,38,31,0.409967857
125,1228at8782-aln.nexus,3472,8424,0.412155745,40,37,0.499442834
126,12328at8782-aln.nexus,1458,3288,0.443430657,56,56,0.458297735
127,12334at8782-aln.nexus,539,2088,0.258141762,20,20,0.507060191
128,12342at8782-aln.nexus,898,4509,0.199157241,70,66,0.417187874
129,12405at8782-aln.nexus,1212,5685,0.213192612,40,41,0.457794208
130,12417at8782-aln.nexus,834,3537,0.235793045,26,24,0.463618111
131,12422at8782-aln.nexus,1100,3084,0.356679637,54,42,0.527631681
132,12462at8782-aln.nexus,423,1887,0.224165342,40,34,0.568646063
133,12480at8782-aln.nexus,1006,2352,0.427721088,28,28,0.575458569
134,12508at8782-aln.nexus,2235,4398,0.508185539,94,89,0.503822724
135,12526at8782-aln.nexus,640,2781,0.230133046,28,25,0.460341624
136,12530at8782-aln.nexus,927,2781,0.333333333,34,27,0.515354007
137,12585at8782-aln.nexus,818,3642,0.224601867,32,32,0.476732083
138,12588at8782-aln.nexus,653,3507,0.186199031,46,40,0.447638644
139,12607at8782-aln.nexus,1149,2781,0.413160734,44,38,0.533797498
140,12627at8782-aln.nexus,989,3894,0.253980483,30,29,0.487155659
141,12628at8782-aln.nexus,751,2289,0.328090869,50,46,0.549333579
142,12725at8782-aln.nexus,752,2250,0.334222222,40,39,0.562325376
143,12728at8782-aln.nexus,939,2580,0.363953488,44,40,0.490459417
144,12735at8782-aln.nexus,1508,3390,0.444837758,60,60,0.428150294
145,12765at8782-aln.nexus,833,1992,0.418172691,30,30,0.504298758
146,12768at8782-aln.nexus,738,2199,0.335607094,30,23,0.557112518
147,12776at8782-aln.nexus,1511,3258,0.463781461,84,76,0.395521699
148,12799at8782-aln.nexus,1086,3669,0.295993459,70,51,0.554337781
149,12810at8782-aln.nexus,2079,4050,0.513333333,42,33,0.515956451
150,12840at8782-aln.nexus,1711,4059,0.421532397,56,52,0.574654243
151,12842at8782-aln.nexus,1338,3510,0.381196581,40,35,0.401451984
152,12844at8782-aln.nexus,1733,2916,0.59430727,46,39,0.398039051
153,12851at8782-aln.nexus,915,2358,0.388040712,78,65,0.561097862
154,12862at8782-aln.nexus,1316,2898,0.45410628,68,64,0.547897419
155,12866at8782-aln.nexus,1079,2751,0.392221011,44,39,0.485912542
156,12869at8782-aln.nexus,2258,3432,0.657925408,68,60,0.435510704
157,12894at8782-aln.nexus,645,2298,0.280678851,34,28,0.531481575
158,12895at8782-aln.nexus,1247,3963,0.314660611,100,94,0.467464181
159,12899at8782-aln.nexus,705,2244,0.314171123,44,38,0.491375308
160,12907at8782-aln.nexus,276,1905,0.14488189,40,28,0.456280301
161,12933at8782-aln.nexus,1088,3312,0.328502415,64,55,0.471833969
162,12962at8782-aln.nexus,1078,3459,0.311650766,66,51,0.529922868
163,12971at8782-aln.nexus,531,3228,0.164498141,36,34,0.466085937
164,13002at8782-aln.nexus,987,4029,0.244973939,38,33,0.531162442
165,13006at8782-aln.nexus,1276,2910,0.438487973,30,24,0.442333502
166,1306at8782-aln.nexus,2379,8250,0.288363636,22,24,0.503886915
167,13070at8782-aln.nexus,647,2226,0.290655885,28,29,0.490111786
168,13079at8782-aln.nexus,1380,3402,0.405643739,72,56,0.460202164
169,13140at8782-aln.nexus,1266,2811,0.450373533,60,55,0.540835114
170,13152at8782-aln.nexus,1072,2970,0.360942761,30,24,0.437131367
171,13184at8782-aln.nexus,803,2106,0.381291548,58,50,0.426609079
172,13204at8782-aln.nexus,898,2304,0.389756944,20,23,0.455348772
173,13211at8782-aln.nexus,855,3891,0.219737857,78,59,0.451495855
174,13220at8782-aln.nexus,766,2238,0.342269884,78,67,0.521454571
175,1322at8782-aln.nexus,1833,6258,0.292905081,22,14,0.501231382
176,13255at8782-aln.nexus,2038,4482,0.45470772,74,57,0.548846792
177,13263at8782-aln.nexus,1482,3369,0.439893143,64,56,0.479774548
178,13266at8782-aln.nexus,616,3171,0.194260486,22,22,0.491322397
179,13277at8782-aln.nexus,1093,2589,0.422170722,32,27,0.473785613
180,13298at8782-aln.nexus,544,1992,0.273092369,32,25,0.476358675
181,13306at8782-aln.nexus,975,2925,0.333333333,32,29,0.553179753
182,13332at8782-aln.nexus,1089,2367,0.460076046,36,35,0.622881356
183,13352at8782-aln.nexus,690,2109,0.327169275,26,24,0.448072188
184,1336at8782-aln.nexus,2666,7833,0.340354909,44,36,0.450937634
185,13381at8782-aln.nexus,672,2127,0.315937941,54,46,0.489683264
186,13394at8782-aln.nexus,1300,3573,0.36383991,76,61,0.485770777
187,13405at8782-aln.nexus,538,1872,0.287393162,36,28,0.514084946
188,13412at8782-aln.nexus,1688,4158,0.405964406,62,58,0.489861754
189,1341at8782-aln.nexus,2447,6543,0.373987468,30,30,0.45782334
190,13447at8782-aln.nexus,844,2193,0.384860921,50,45,0.615774761
191,13450at8782-aln.nexus,1178,2205,0.534240363,86,74,0.457180999
192,13485at8782-aln.nexus,953,2313,0.412019023,44,35,0.452213985
193,13486at8782-aln.nexus,1877,4050,0.46345679,54,45,0.543728958
194,13494at8782-aln.nexus,893,3246,0.275107825,42,31,0.459484346
195,13495at8782-aln.nexus,2205,5595,0.394101877,68,63,0.477966773
196,13503at8782-aln.nexus,443,1713,0.258610625,52,42,0.554042908
197,13530at8782-aln.nexus,729,2019,0.361069837,24,23,0.484425256
198,13560at8782-aln.nexus,1089,2598,0.419168591,52,48,0.493242307
199,13582at8782-aln.nexus,1090,2409,0.452469905,30,28,0.482192173
200,13587at8782-aln.nexus,1071,3780,0.283333333,38,36,0.432911319
201,13588at8782-aln.nexus,1058,2808,0.376780627,52,46,0.526445703
202,13592at8782-aln.nexus,1410,2784,0.506465517,24,22,0.455391061
203,1360at8782-aln.nexus,2838,7317,0.387863879,18,16,0.464067477
204,13662at8782-aln.nexus,998,5373,0.185743532,70,57,0.439047966
205,13667at8782-aln.nexus,1325,3375,0.392592593,80,64,0.510766347
206,13692at8782-aln.nexus,409,1923,0.212688508,56,49,0.54980501
207,13726at8782-aln.nexus,1062,4068,0.261061947,80,67,0.543823719
208,13760at8782-aln.nexus,1065,2919,0.364850976,44,41,0.477044949
209,13762at8782-aln.nexus,1555,3948,0.393870314,64,55,0.49451966
210,13770at8782-aln.nexus,901,3186,0.282799749,52,47,0.521543156
211,13784at8782-aln.nexus,1085,2430,0.446502058,48,41,0.528959791
212,13786at8782-aln.nexus,1562,4074,0.383406971,34,27,0.481579487
213,13790at8782-aln.nexus,1199,2637,0.454683352,80,76,0.632295244
214,13793at8782-aln.nexus,1279,4200,0.30452381,42,42,0.472078626
215,137at8782-aln.nexus,3809,14550,0.261786942,30,26,0.479568292
216,13811at8782-aln.nexus,752,2076,0.362235067,50,39,0.45603911
217,13842at8782-aln.nexus,892,2127,0.419370005,74,58,0.593097755
218,1386at8782-aln.nexus,2774,8514,0.325816303,24,20,0.465242931
219,13884at8782-aln.nexus,948,3150,0.300952381,18,19,0.570746746
220,13904at8782-aln.nexus,1019,3123,0.326288825,76,69,0.491605254
221,13907at8782-aln.nexus,1223,2646,0.462207105,84,65,0.512787991
222,13914at8782-aln.nexus,971,2952,0.328929539,58,42,0.515813346
223,13926at8782-aln.nexus,934,2067,0.451862603,38,34,0.472672203
224,13938at8782-aln.nexus,2011,3438,0.584933101,86,83,0.471223278
225,13942at8782-aln.nexus,1121,2202,0.509082652,54,48,0.505276326
226,13983at8782-aln.nexus,980,3072,0.319010417,58,41,0.599276393
227,13993at8782-aln.nexus,1855,5244,0.353737605,56,50,0.504489946
228,14009at8782-aln.nexus,866,2568,0.337227414,56,52,0.536528143
229,14023at8782-aln.nexus,935,2388,0.391541039,24,21,0.544397731
230,14066at8782-aln.nexus,967,2508,0.385566188,70,54,0.456562741
231,14093at8782-aln.nexus,516,1761,0.293015332,52,45,0.527272138
232,14111at8782-aln.nexus,813,2832,0.287076271,46,39,0.554485101
233,14134at8782-aln.nexus,1639,3813,0.429845266,66,62,0.468326778
234,1413at8782-aln.nexus,2809,7227,0.388681334,24,23,0.492393983
235,14145at8782-aln.nexus,737,6870,0.10727802,42,35,0.572443461
236,14160at8782-aln.nexus,1363,2493,0.546730846,54,44,0.491897784
237,14166at8782-aln.nexus,1231,2961,0.415737926,62,54,0.567837529
238,1418at8782-aln.nexus,2696,8346,0.323028996,24,26,0.519484445
239,14216at8782-aln.nexus,851,2421,0.351507641,48,40,0.498802857
240,1422at8782-aln.nexus,2504,5823,0.430018891,48,47,0.449407661
241,14234at8782-aln.nexus,1412,2433,0.580353473,28,27,0.494969735
242,14244at8782-aln.nexus,869,2331,0.372801373,38,32,0.619397201
243,14247at8782-aln.nexus,925,3564,0.259539843,54,47,0.617396832
244,14271at8782-aln.nexus,1008,2829,0.35630965,72,60,0.520491561
245,14273at8782-aln.nexus,594,1950,0.304615385,58,46,0.621105071
246,1428at8782-aln.nexus,3685,9084,0.4056583,54,55,0.61801505
247,14303at8782-aln.nexus,1009,2439,0.413694137,72,59,0.535035125
248,14316at8782-aln.nexus,1629,2805,0.580748663,30,30,0.442953543
249,14353at8782-aln.nexus,862,2142,0.402427638,30,28,0.46223424
250,14369at8782-aln.nexus,1159,3063,0.378387202,98,84,0.50150726
251,14400at8782-aln.nexus,736,2421,0.304006609,36,32,0.438032436
252,14401at8782-aln.nexus,839,2442,0.343570844,50,34,0.512762329
253,14454at8782-aln.nexus,474,1800,0.263333333,50,37,0.457741247
254,14458at8782-aln.nexus,396,1677,0.236135957,36,35,0.646895052
255,14526at8782-aln.nexus,1274,2307,0.552232336,90,77,0.415290937
256,14531at8782-aln.nexus,1079,2619,0.411989309,30,29,0.529685102
257,14573at8782-aln.nexus,395,1842,0.214440825,62,46,0.590887225
258,14576at8782-aln.nexus,675,2163,0.312066574,58,44,0.470940651
259,14597at8782-aln.nexus,1105,4221,0.261786307,66,61,0.639144061
260,14622at8782-aln.nexus,1191,2457,0.484737485,46,36,0.509170378
261,14633at8782-aln.nexus,875,2193,0.398996808,42,41,0.438646928
262,14662at8782-aln.nexus,1806,3168,0.570075758,34,31,0.433905968
263,14664at8782-aln.nexus,1635,2865,0.570680628,30,25,0.455644649
264,1469at8782-aln.nexus,1607,5523,0.290965055,28,27,0.440686964
265,14711at8782-aln.nexus,1545,3516,0.439419795,62,52,0.448922868
266,14741at8782-aln.nexus,965,2118,0.455618508,46,37,0.470257499
267,14760at8782-aln.nexus,1024,2625,0.390095238,86,60,0.477113848
268,14767at8782-aln.nexus,1543,6015,0.256525353,86,79,0.498455052
269,14778at8782-aln.nexus,2774,8418,0.329531955,56,52,0.396516977
270,14784at8782-aln.nexus,931,2403,0.387432376,42,39,0.541202573
271,14801at8782-aln.nexus,805,4821,0.166977805,30,25,0.532397159
272,14807at8782-aln.nexus,943,3303,0.285498032,46,37,0.545244182
273,14840at8782-aln.nexus,1167,3834,0.304381847,60,57,0.462345828
274,14848at8782-aln.nexus,941,2127,0.442407146,46,43,0.472714493
275,14866at8782-aln.nexus,774,2661,0.290868095,56,46,0.584320772
276,14868at8782-aln.nexus,526,2379,0.221101303,50,41,0.442141224
277,14872at8782-aln.nexus,874,2346,0.37254902,32,28,0.534145363
278,1489at8782-aln.nexus,2388,6813,0.350506385,38,35,0.524556693
279,14901at8782-aln.nexus,1428,2871,0.49738767,64,58,0.587485516
280,1490at8782-aln.nexus,2185,7770,0.281209781,54,50,0.507625651
281,14934at8782-aln.nexus,1073,2826,0.379688606,96,79,0.490559187
282,14941at8782-aln.nexus,1681,4140,0.406038647,32,30,0.576695735
283,14949at8782-aln.nexus,614,2154,0.285051068,64,48,0.430344727
284,14992at8782-aln.nexus,1150,2001,0.574712644,50,50,0.569571581
285,15026at8782-aln.nexus,1512,2970,0.509090909,62,53,0.57270282
286,15044at8782-aln.nexus,622,1935,0.321447028,38,37,0.474762594
287,15052at8782-aln.nexus,788,1749,0.450543168,40,34,0.519750537
288,15061at8782-aln.nexus,925,2808,0.329415954,22,24,0.561230905
289,15079at8782-aln.nexus,1537,3279,0.46874047,84,75,0.447867619
290,150at8782-aln.nexus,4832,13161,0.367145354,24,25,0.438714345
291,15101at8782-aln.nexus,397,2403,0.165210154,50,39,0.526426987
292,15102at8782-aln.nexus,777,2148,0.361731844,52,45,0.467918123
293,15128at8782-aln.nexus,849,2430,0.349382716,70,59,0.479240303
294,15133at8782-aln.nexus,844,2676,0.315396114,80,70,0.462241636
295,15152at8782-aln.nexus,1402,2799,0.500893176,26,23,0.488930443
296,15156at8782-aln.nexus,1530,3054,0.500982318,84,76,0.496362594
297,15163at8782-aln.nexus,1718,3285,0.522983257,26,25,0.484237553
298,15206at8782-aln.nexus,1361,2280,0.596929825,40,36,0.438784084
299,15222at8782-aln.nexus,1284,2058,0.623906706,84,80,0.524043038
300,15348at8782-aln.nexus,890,1860,0.478494624,38,36,0.491786633
301,15368at8782-aln.nexus,835,2307,0.361941916,56,52,0.443619298
302,15382at8782-aln.nexus,1701,7767,0.219003476,68,50,0.503195405
303,15506at8782-aln.nexus,971,2853,0.340343498,32,29,0.568680321
304,15530at8782-aln.nexus,850,2202,0.386012716,34,32,0.545147257
305,15543at8782-aln.nexus,535,1803,0.296727676,26,30,0.509108496
306,15552at8782-aln.nexus,783,5640,0.138829787,46,40,0.487559867
307,15562at8782-aln.nexus,1121,3525,0.318014184,30,25,0.477652515
308,15587at8782-aln.nexus,1677,4251,0.394495413,24,20,0.488103441
309,1561at8782-aln.nexus,2634,8610,0.305923345,16,17,0.472087956
310,15693at8782-aln.nexus,443,2283,0.194042926,28,25,0.558374169
311,15704at8782-aln.nexus,1019,2553,0.399138269,38,33,0.459246627
312,15719at8782-aln.nexus,737,1887,0.390567038,36,31,0.387158367
313,15726at8782-aln.nexus,1381,3243,0.425840271,50,51,0.594593475
314,15751at8782-aln.nexus,815,2760,0.295289855,80,68,0.482061999
315,1577at8782-aln.nexus,1505,5700,0.264035088,30,27,0.500368692
316,15781at8782-aln.nexus,1346,2763,0.487151647,44,38,0.508140788
317,15807at8782-aln.nexus,1398,2994,0.466933868,110,95,0.52825064
318,15818at8782-aln.nexus,1670,3675,0.454421769,46,37,0.530492353
319,15832at8782-aln.nexus,1437,2628,0.546803653,68,61,0.447203279
320,15859at8782-aln.nexus,644,1806,0.356589147,52,41,0.586396753
321,15863at8782-aln.nexus,1139,2931,0.388604572,64,55,0.481597579
322,15889at8782-aln.nexus,512,1935,0.264599483,30,27,0.594410033
323,15917at8782-aln.nexus,644,1896,0.339662447,44,38,0.521891715
324,15929at8782-aln.nexus,993,2139,0.464235624,46,38,0.479740023
325,15932at8782-aln.nexus,1219,2553,0.477477477,56,51,0.399834424
326,15934at8782-aln.nexus,631,1935,0.326098191,44,40,0.495961684
327,15938at8782-aln.nexus,2132,4374,0.487425697,56,50,0.504748616
328,15970at8782-aln.nexus,1944,3294,0.590163934,72,64,0.609957255
329,15983at8782-aln.nexus,705,2367,0.297845374,36,31,0.595814059
330,15989at8782-aln.nexus,556,2061,0.269771955,38,33,0.523064268
331,16067at8782-aln.nexus,739,2553,0.289463376,54,47,0.597299574
332,16106at8782-aln.nexus,625,2046,0.305474096,32,31,0.470622323
333,16116at8782-aln.nexus,892,2493,0.357801845,48,39,0.474036722
334,16133at8782-aln.nexus,1784,3309,0.539135691,92,81,0.501133937
335,16137at8782-aln.nexus,698,1395,0.500358423,98,71,0.44199662
336,16146at8782-aln.nexus,230,1782,0.129068462,48,41,0.437203512
337,16147at8782-aln.nexus,807,2301,0.35071708,62,51,0.509935352
338,16159at8782-aln.nexus,921,2010,0.458208955,78,73,0.60474304
339,16173at8782-aln.nexus,1646,3633,0.453069089,44,38,0.501590092
340,1619at8782-aln.nexus,1568,6387,0.245498669,16,15,0.549460403
341,161at8782-aln.nexus,4370,10821,0.403844377,44,37,0.490571804
342,16201at8782-aln.nexus,1144,2694,0.424647365,46,38,0.583323496
343,16207at8782-aln.nexus,1127,4158,0.271043771,90,77,0.502450076
344,16231at8782-aln.nexus,872,2370,0.367932489,44,38,0.460475921
345,16257at8782-aln.nexus,480,1818,0.264026403,38,36,0.591960415
346,16277at8782-aln.nexus,487,2082,0.233909702,58,47,0.568037224
347,16282at8782-aln.nexus,1312,2817,0.465743699,58,48,0.437751979
348,16287at8782-aln.nexus,940,1995,0.471177945,44,44,0.525111177
349,16317at8782-aln.nexus,653,2856,0.228641457,48,37,0.55668621
350,16342at8782-aln.nexus,1109,3408,0.325410798,54,47,0.541987665
351,16350at8782-aln.nexus,295,1830,0.161202186,58,46,0.431830641
352,1640at8782-aln.nexus,1639,5832,0.281035665,28,24,0.450965829
353,16417at8782-aln.nexus,1793,4170,0.429976019,82,74,0.563152905
354,16426at8782-aln.nexus,638,1731,0.368573079,32,29,0.445529523
355,16440at8782-aln.nexus,1912,3933,0.486142893,80,71,0.464190406
356,16468at8782-aln.nexus,1889,3699,0.510678562,24,19,0.459705357
357,16481at8782-aln.nexus,851,2451,0.347205222,54,50,0.51672024
358,16502at8782-aln.nexus,1658,2934,0.565098841,40,37,0.448128843
359,16509at8782-aln.nexus,1027,2514,0.408512331,40,37,0.489068189
360,16524at8782-aln.nexus,963,2016,0.477678571,54,52,0.515240698
361,16552at8782-aln.nexus,1172,3987,0.293955355,72,61,0.446931124
362,16553at8782-aln.nexus,699,2592,0.269675926,22,18,0.57178564
363,16585at8782-aln.nexus,625,1887,0.331213567,54,44,0.517369808
364,16610at8782-aln.nexus,903,2346,0.384910486,46,42,0.569742885
365,16614at8782-aln.nexus,1617,3450,0.468695652,48,46,0.566522792
366,16631at8782-aln.nexus,1545,3330,0.463963964,26,23,0.562303433
367,16637at8782-aln.nexus,1265,3732,0.338960343,82,70,0.528125026
368,16640at8782-aln.nexus,452,1923,0.235049402,34,25,0.498300739
369,16712at8782-aln.nexus,1432,3768,0.380042463,82,72,0.463925451
370,16716at8782-aln.nexus,1580,3822,0.413396128,64,59,0.624683788
371,16736at8782-aln.nexus,1222,3135,0.389792663,44,39,0.451986796
372,16761at8782-aln.nexus,630,1863,0.338164251,62,58,0.58477222
373,16772at8782-aln.nexus,1115,2958,0.376943881,68,56,0.609965112
374,16847at8782-aln.nexus,1047,3177,0.329556185,42,36,0.486568857
375,1685at8782-aln.nexus,1605,5835,0.275064267,82,77,0.431596275
376,16879at8782-aln.nexus,2340,5277,0.443433769,42,40,0.469404065
377,16899at8782-aln.nexus,511,1878,0.272097977,42,40,0.484888774
378,16911at8782-aln.nexus,1081,2142,0.504668534,50,48,0.425671506
379,16932at8782-aln.nexus,1470,3963,0.370931113,76,71,0.504010915
380,16951at8782-aln.nexus,916,2436,0.376026273,42,38,0.409487774
