"","aln","pars.site","tot.sites","pars.site.prop","rf.distance.coll","gc.cont"
"56","uce-1141.nexus","722","1819","0.396921385376581","34","1.62027317831492e-05"
"57","uce-1143.nexus","313","938","0.333688699360341","84","0.000261821827132822"
"58","uce-1148.nexus","738","2020","0.365346534653465","36","3.37088708917553e-05"
"59","uce-115.nexus","527","1345","0.39182156133829","48","0.000617220112225429"
"60","uce-1150.nexus","771","1901","0.405576012624934","36","9.57579026067371e-05"
"61","uce-1154.nexus","622","1715","0.36268221574344","32","2.61004266358578e-05"
"62","uce-1158.nexus","552","1683","0.327985739750446","30","0.000290853632763636"
"63","uce-1159.nexus","847","1925","0.44","42","7.07825568171336e-05"
"64","uce-1161.nexus","798","1828","0.436542669584245","28","0.000126447718077538"
"65","uce-1163.nexus","816","2013","0.405365126676602","26","3.20934307258793e-05"
"66","uce-1168.nexus","544","1976","0.275303643724696","36","3.07937607775187e-05"
"67","uce-1169.nexus","585","1387","0.421773612112473","36","5.55822675653474e-05"
"68","uce-117.nexus","514","1903","0.270099842354178","48","2.9254337711064e-05"
"69","uce-1172.nexus","774","1927","0.401660612350804","30","4.28507325916184e-05"
"70","uce-1177.nexus","788","1856","0.424568965517241","38","4.60979989710806e-05"
"71","uce-1188.nexus","422","2083","0.202592414786366","54","9.82488211609181e-06"
"72","uce-119.nexus","916","1853","0.494333513221802","38","8.05294403635145e-05"
"73","uce-1190.nexus","440","1995","0.220551378446115","44","6.85518442908747e-05"
"74","uce-1192.nexus","583","1695","0.343952802359882","36","2.38311707556904e-05"
"75","uce-1193.nexus","697","1944","0.358539094650206","28","2.97688357014593e-05"
"76","uce-1194.nexus","731","2030","0.360098522167488","28","4.1216939088395e-05"
"77","uce-12.nexus","769","1880","0.409042553191489","32","6.93617057715214e-05"
"78","uce-120.nexus","303","2073","0.14616497829233","70","2.78065799135514e-06"
"79","uce-1200.nexus","575","1610","0.357142857142857","30","7.65674262298176e-05"
"80","uce-1201.nexus","656","1807","0.363032650802435","40","2.31951306182272e-05"
"81","uce-1202.nexus","681","1695","0.401769911504425","40","5.29186819030808e-05"
"82","uce-1205.nexus","791","2010","0.393532338308458","32","1.61532496616397e-05"
"83","uce-1207.nexus","840","2014","0.41708043694141","38","0.000154322393342666"
"84","uce-121.nexus","413","1935","0.21343669250646","30","7.92367644519728e-05"
"85","uce-1210.nexus","743","2020","0.367821782178218","38","1.49032076124225e-05"
"86","uce-1211.nexus","842","1943","0.433350488934637","34","7.07658109577328e-05"
"87","uce-1217.nexus","661","1638","0.403540903540904","46","0.000151169568556225"
"88","uce-1222.nexus","498","1255","0.396812749003984","52","7.69206222847821e-05"
"89","uce-1224.nexus","718","1564","0.459079283887468","40","2.42347360245171e-05"
"90","uce-1231.nexus","584","1982","0.294651866801211","22","3.48791417223888e-05"
"91","uce-1232.nexus","621","1857","0.334410339256866","42","4.06293557360402e-05"
"92","uce-1239.nexus","550","1927","0.285417747794499","42","3.07431058035466e-05"
"93","uce-124.nexus","659","1821","0.361889071938495","46","2.90195922428291e-05"
"94","uce-1242.nexus","479","2041","0.23468887800098","52","1.03680647921374e-05"
"95","uce-1243.nexus","550","2068","0.265957446808511","46","1.16323503726762e-05"
"96","uce-1245.nexus","725","1949","0.371985633658286","38","5.16011061368877e-05"
"97","uce-1246.nexus","648","1906","0.339979013641133","22","3.72231865217876e-05"
"98","uce-1250.nexus","730","2589","0.281962147547316","32","8.39296704623315e-05"
"99","uce-1252.nexus","789","1729","0.456333140543667","36","3.58347874023429e-05"
"100","uce-1256.nexus","761","1991","0.382219989954797","36","5.88668815515148e-05"
"101","uce-1259.nexus","588","1836","0.320261437908497","68","3.13761840548758e-05"
"102","uce-1260.nexus","242","2120","0.114150943396226","54","5.76046096424884e-06"
"103","uce-1263.nexus","693","1830","0.378688524590164","44","0.000155356764337641"
"104","uce-1264.nexus","761","1934","0.393485005170631","34","4.66020854667168e-05"
"105","uce-1265.nexus","554","2005","0.276309226932668","44","1.94714915919998e-05"
"106","uce-1267.nexus","445","2085","0.213429256594724","46","1.91610437793063e-05"
"107","uce-127.nexus","389","2082","0.186839577329491","50","2.18873564441033e-05"
"108","uce-1271.nexus","360","1006","0.357852882703777","62","0.000317106580599367"
"109","uce-1272.nexus","732","1954","0.374616171954964","36","1.5051016434993e-05"
"110","uce-1276.nexus","517","1599","0.32332707942464","32","0.000157228852547206"
"111","uce-1277.nexus","784","1966","0.398779247202442","28","3.48519152807983e-05"
"112","uce-1278.nexus","650","1961","0.331463539010709","42","0.000116287739410677"
"113","uce-1281.nexus","548","2051","0.267186738176499","28","2.14054136278794e-05"
"114","uce-1285.nexus","617","1361","0.453343130051433","34","0.000112450833779677"
"115","uce-1288.nexus","438","2072","0.211389961389961","34","8.41765421921324e-06"
"116","uce-129.nexus","787","2115","0.37210401891253","32","1.66380221606027e-05"
"117","uce-1290.nexus","580","2062","0.281280310378274","36","4.82142401127048e-05"
"118","uce-1291.nexus","679","1890","0.359259259259259","30","2.44820269595829e-05"
"119","uce-1295.nexus","636","1878","0.338658146964856","40","2.93821222697024e-05"
"120","uce-1297.nexus","390","1075","0.362790697674419","40","0.000404642964793954"
"121","uce-1298.nexus","648","2043","0.317180616740088","38","6.96490123458091e-06"
"122","uce-1300.nexus","827","1721","0.480534572922719","38","6.70314522123692e-05"
"123","uce-1301.nexus","742","1898","0.390937829293994","36","4.57247584337012e-05"
"124","uce-1304.nexus","588","1986","0.29607250755287","44","9.96093369469853e-05"
"125","uce-1305.nexus","658","1654","0.39782345828295","24","2.17703113941973e-05"
"126","uce-1306.nexus","744","1812","0.410596026490066","36","0.000106069237742736"
"127","uce-1307.nexus","495","1680","0.294642857142857","46","0.000114021577957505"
"128","uce-1309.nexus","184","2097","0.0877443967572723","62","6.86449158020436e-06"
"129","uce-131.nexus","603","1926","0.313084112149533","52","4.65141864260545e-05"
"130","uce-1311.nexus","735","2008","0.366035856573705","38","2.16313667710789e-05"
"131","uce-1318.nexus","627","1472","0.425951086956522","28","4.90029583753306e-05"
"132","uce-1322.nexus","824","2095","0.393317422434368","32","4.65765626082406e-05"
"133","uce-1323.nexus","616","2034","0.302851524090462","40","0.000158737413259437"
"134","uce-1324.nexus","270","1406","0.19203413940256","80","0.000102137307284305"
"135","uce-1326.nexus","725","2057","0.352455031599417","42","1.85611058941477e-05"
"136","uce-1333.nexus","528","1817","0.290588882773803","50","3.46682268761961e-05"
"137","uce-134.nexus","442","2139","0.206638616175783","42","1.28511978145037e-05"
"138","uce-1342.nexus","565","1519","0.371955233706386","36","5.28293346595868e-05"
"139","uce-1344.nexus","619","2080","0.297596153846154","42","1.83062346998948e-05"
"140","uce-1348.nexus","769","2214","0.347335140018067","36","3.050960972317e-05"
"141","uce-1349.nexus","690","1924","0.358627858627859","46","1.42866147196099e-05"
"142","uce-1350.nexus","783","1968","0.397865853658537","24","0.000120403941119445"
"143","uce-1357.nexus","489","2271","0.215323645970938","48","4.64072455713272e-06"
"144","uce-1358.nexus","162","1761","0.0919931856899489","84","2.17144308533373e-05"
"145","uce-136.nexus","790","1890","0.417989417989418","30","0.000140862040449022"
"146","uce-1360.nexus","660","1895","0.348284960422164","44","0.000125652809776835"
"147","uce-1361.nexus","439","2016","0.217757936507937","50","8.011764426035e-06"
"148","uce-1362.nexus","611","1935","0.315762273901809","48","0.000331892683269383"
"149","uce-1366.nexus","765","1951","0.392106611993849","48","0.000131640272099441"
"150","uce-1368.nexus","530","1970","0.269035532994924","22","6.40072063566309e-05"
"151","uce-1371.nexus","837","1994","0.4197592778335","24","9.48307872634755e-05"
"152","uce-1374.nexus","746","1962","0.380224260958206","36","3.18314892088345e-05"
"153","uce-1375.nexus","647","1548","0.417958656330749","30","3.87970881593802e-05"
"154","uce-1381.nexus","761","1679","0.453245979749851","26","5.85152085200452e-05"
"155","uce-1383.nexus","677","1995","0.339348370927318","34","9.28281222958562e-06"
"156","uce-1384.nexus","513","1778","0.288526434195726","60","0.000146366333855601"
"157","uce-1385.nexus","752","2051","0.366650414431984","22","2.66773831113415e-05"
"158","uce-1389.nexus","754","2043","0.369065100342633","20","0.00015671595563765"
"159","uce-1390.nexus","872","2102","0.414843006660323","34","7.97727994089859e-05"
"160","uce-1393.nexus","472","2046","0.23069403714565","42","1.74121924216365e-05"
"161","uce-1394.nexus","297","1872","0.158653846153846","52","6.99449334303436e-06"
"162","uce-1395.nexus","680","1488","0.456989247311828","50","0.00012565848249312"
"163","uce-14.nexus","718","2064","0.347868217054264","46","3.84924596166738e-05"
"164","uce-1402.nexus","875","1933","0.45266425245732","26","3.4115150750487e-05"
"165","uce-1408.nexus","1072","2163","0.495607951918632","22","3.55138640403364e-05"
"166","uce-1410.nexus","761","1682","0.45243757431629","32","0.000293729104227275"
"167","uce-1412.nexus","721","1981","0.363957597173145","28","0.000156967269666005"
"168","uce-1417.nexus","392","2006","0.195413758723829","60","7.13383172078817e-05"
"169","uce-142.nexus","462","1225","0.377142857142857","24","6.13232966613786e-05"
"170","uce-1420.nexus","537","2024","0.265316205533597","48","3.42109440802731e-05"
"171","uce-1422.nexus","667","2680","0.248880597014925","28","0.000122183607561194"
"172","uce-1423.nexus","547","1778","0.307649043869516","34","3.98923418635144e-05"
"173","uce-1425.nexus","612","1864","0.328326180257511","30","0.000253736031246038"
"174","uce-1427.nexus","660","2104","0.313688212927757","34","6.76939554563491e-05"
"175","uce-143.nexus","609","1595","0.381818181818182","58","4.75524346517126e-05"
"176","uce-1434.nexus","625","2029","0.308033514046328","38","0.000100046775024834"
"177","uce-1435.nexus","438","1991","0.219989954796585","46","2.43531234577203e-05"
"178","uce-1438.nexus","588","1678","0.350417163289631","38","7.82934420461005e-05"
"179","uce-144.nexus","652","1725","0.377971014492754","40","4.51825103466073e-05"
"180","uce-1442.nexus","674","1754","0.384264538198404","26","3.53658793811927e-05"
"181","uce-1450.nexus","622","2061","0.301795245026686","38","1.5898208493623e-05"
"182","uce-1451.nexus","968","1812","0.534216335540839","28","5.2573084220729e-05"
"183","uce-1453.nexus","435","1739","0.250143760782059","52","2.30682939601453e-05"
"184","uce-1454.nexus","786","2044","0.38454011741683","34","5.71904671791307e-05"
"185","uce-1456.nexus","671","1978","0.339231547017189","32","8.99387630376e-05"
"186","uce-1458.nexus","481","1531","0.314173742651862","38","2.30509981673057e-05"
"187","uce-146.nexus","716","1901","0.376643871646502","52","0.00010431176997746"
"188","uce-1463.nexus","757","1966","0.385045778229908","50","1.48687779332642e-05"
"189","uce-1469.nexus","683","2063","0.331071255453223","34","1.70491007837608e-05"
"190","uce-1470.nexus","387","1416","0.273305084745763","44","3.1829163580737e-05"
"191","uce-1474.nexus","744","1906","0.390346274921301","32","1.33129143654034e-05"
"192","uce-1478.nexus","665","1881","0.353535353535354","38","0.000107112505582455"
"193","uce-1482.nexus","702","1702","0.412455934195065","30","3.75215212630238e-05"
"194","uce-1483.nexus","619","1829","0.338436303991252","26","2.45246099290626e-05"
"195","uce-1485.nexus","758","2003","0.378432351472791","30","4.98131106201337e-05"
"196","uce-149.nexus","552","2057","0.268351968886728","40","4.09361076312628e-05"
"197","uce-1490.nexus","701","2070","0.338647342995169","34","5.09939970370643e-05"
"198","uce-1497.nexus","603","2028","0.297337278106509","28","3.94084040170711e-05"
"199","uce-15.nexus","467","1871","0.24959914484233","26","6.97732600398372e-05"
"200","uce-1500.nexus","862","1938","0.444788441692466","12","4.30295548546009e-05"
"201","uce-1512.nexus","648","2001","0.32383808095952","30","4.2781672825025e-05"
"202","uce-1514.nexus","437","1245","0.351004016064257","52","5.32533817923703e-05"
"203","uce-1520.nexus","877","1955","0.448593350383632","32","3.25629705390384e-05"
"204","uce-1523.nexus","698","1831","0.381212452211906","32","1.89765209252521e-05"
"205","uce-1526.nexus","431","1663","0.259170174383644","60","0.000135829819903337"
"206","uce-1529.nexus","685","1802","0.380133185349612","42","1.58471301893182e-05"
"207","uce-153.nexus","808","2024","0.399209486166008","34","2.22371737234448e-05"
"208","uce-1531.nexus","706","1953","0.361495135688684","38","2.69159424189254e-05"
"209","uce-1535.nexus","188","938","0.200426439232409","48","0.000183604383123902"
"210","uce-1538.nexus","608","1584","0.383838383838384","46","2.12515157849312e-05"
"211","uce-1539.nexus","594","1819","0.326553051126993","30","0.000101562256127648"
"212","uce-154.nexus","210","1807","0.116214720531267","74","7.53841409434456e-05"
"213","uce-1544.nexus","532","1966","0.2706002034588","32","3.79789202683808e-05"
"214","uce-1547.nexus","404","1829","0.220885729907053","44","0.000108134247551008"
"215","uce-1550.nexus","657","1655","0.396978851963746","54","6.36467578926889e-05"
"216","uce-1552.nexus","618","2052","0.301169590643275","38","5.75050375551937e-05"
"217","uce-1556.nexus","520","1736","0.299539170506912","40","8.12032674993992e-05"
"218","uce-1558.nexus","757","1606","0.471357409713574","62","0.000177618786478675"
"219","uce-1560.nexus","510","1689","0.301953818827709","44","2.16346105071232e-05"
"220","uce-1561.nexus","771","1900","0.405789473684211","32","4.67971559255692e-05"
"221","uce-1562.nexus","425","1464","0.290300546448087","38","2.45547136131801e-05"
"222","uce-1564.nexus","892","1796","0.496659242761693","24","0.00034762081864477"
"223","uce-1566.nexus","491","2020","0.243069306930693","40","1.73111715074664e-05"
"224","uce-1570.nexus","543","2070","0.26231884057971","30","2.44390614079773e-05"
"225","uce-1573.nexus","607","2066","0.293804453049371","36","5.43310896263947e-06"
"226","uce-1576.nexus","659","2002","0.329170829170829","36","2.50520551317663e-05"
"227","uce-1582.nexus","588","1952","0.301229508196721","28","1.14823195983255e-05"
"228","uce-1588.nexus","507","1597","0.317470256731371","30","7.35172864719789e-05"
"229","uce-1591.nexus","670","1797","0.372843628269338","30","2.59632225448658e-05"
"230","uce-1597.nexus","491","2031","0.241752831117676","36","1.86880164692595e-05"
"231","uce-1598.nexus","783","2198","0.356232939035487","36","9.7657214206738e-05"
"232","uce-16.nexus","618","2076","0.297687861271676","38","6.16770839416214e-05"
"233","uce-1601.nexus","722","1858","0.388589881593111","28","7.44243651611206e-05"
"234","uce-1602.nexus","578","1855","0.311590296495957","42","5.60648072765332e-05"
"235","uce-1606.nexus","584","1751","0.333523700742433","46","1.8962488805541e-05"
"236","uce-1610.nexus","128","1384","0.092485549132948","72","3.86713320667165e-05"
"237","uce-1611.nexus","332","1321","0.251324753974262","60","0.000311103600627198"
"238","uce-1621.nexus","347","1313","0.264280274181264","40","0.00011082769663298"
"239","uce-1622.nexus","633","1748","0.362128146453089","46","5.65207137503346e-05"
"240","uce-1624.nexus","661","2033","0.325135268076734","26","1.86571321106673e-05"
"241","uce-1625.nexus","553","2095","0.263961813842482","38","2.65374511088636e-05"
"242","uce-1629.nexus","485","1847","0.262587980508933","48","0.000185883331903923"
"243","uce-1631.nexus","628","1840","0.341304347826087","38","1.64746923807169e-05"
"244","uce-1633.nexus","367","1909","0.192247249869041","42","1.2771233015589e-05"
"245","uce-1645.nexus","696","1909","0.364588789942378","32","0.000117623664438647"
"246","uce-1648.nexus","599","1969","0.304215337734891","38","1.01081528668639e-05"
"247","uce-1652.nexus","473","2065","0.229055690072639","38","1.03768161659082e-05"
"248","uce-1653.nexus","361","1980","0.182323232323232","44","1.68857099732665e-05"
"249","uce-1660.nexus","674","2163","0.311604253351826","38","6.45548304360381e-05"
"250","uce-1662.nexus","645","1933","0.333678220382825","20","3.53166864403999e-05"
"251","uce-1667.nexus","605","2024","0.298913043478261","50","1.10034562184871e-05"
"252","uce-1675.nexus","744","1937","0.384099122354156","36","0.000151164635285642"
"253","uce-1677.nexus","684","1865","0.366756032171582","28","3.18334737778618e-05"
"254","uce-1678.nexus","645","2099","0.307289185326346","36","2.3508188129465e-05"
"255","uce-1683.nexus","532","2155","0.246867749419954","42","9.30285062222605e-06"
"256","uce-1689.nexus","381","1232","0.309253246753247","50","0.000509128893537735"
"257","uce-1690.nexus","859","1900","0.452105263157895","44","5.69255082611353e-05"
"258","uce-1694.nexus","812","1895","0.428496042216359","28","5.73185791032809e-05"
"259","uce-170.nexus","802","2002","0.400599400599401","44","3.37962220446643e-05"
"260","uce-1702.nexus","896","1633","0.548683404776485","44","0.000138877287589853"
"261","uce-1703.nexus","516","2028","0.254437869822485","30","3.1618298046398e-05"
"262","uce-1705.nexus","271","1360","0.199264705882353","62","9.95722698156176e-05"
"263","uce-1707.nexus","700","1566","0.446998722860792","36","0.000308956457776905"
"264","uce-1708.nexus","544","1908","0.285115303983228","54","0.000109341736548469"
"265","uce-171.nexus","427","2005","0.212967581047382","36","5.08041920584048e-05"
"266","uce-1719.nexus","592","2252","0.262877442273535","38","8.05761545582148e-06"
"267","uce-172.nexus","618","2058","0.300291545189504","46","3.27668255705189e-05"
"268","uce-1723.nexus","867","2095","0.413842482100239","30","4.62976476460901e-05"
"269","uce-1732.nexus","614","1933","0.31764097258148","36","4.9417611167008e-05"
"270","uce-1733.nexus","782","1721","0.454386984311447","38","2.11719192938756e-05"
"271","uce-1736.nexus","910","1859","0.48951048951049","32","4.81247945645966e-05"
"272","uce-1743.nexus","493","1962","0.251274209989806","30","5.90134674207921e-05"
"273","uce-1744.nexus","887","1798","0.493325917686318","50","2.84603375751316e-05"
"274","uce-1747.nexus","802","2118","0.378659112370161","34","1.91066131353532e-05"
"275","uce-175.nexus","771","2026","0.380552813425469","26","2.98060274621086e-05"
"276","uce-1750.nexus","734","1781","0.412128017967434","36","0.000156634588913763"
"277","uce-1754.nexus","849","1924","0.441268191268191","30","3.06233090966571e-05"
"278","uce-1756.nexus","684","1460","0.468493150684932","42","9.21584148657284e-05"
"279","uce-1757.nexus","329","1554","0.211711711711712","52","7.15513369338351e-05"
"280","uce-1758.nexus","586","1440","0.406944444444444","38","0.000142529474876492"
"281","uce-1763.nexus","747","1707","0.437609841827768","40","0.00044286231779954"
"282","uce-1766.nexus","591","1731","0.341421143847487","24","0.000192991431456202"
"283","uce-1767.nexus","855","1865","0.458445040214477","32","2.85143634975544e-05"
"284","uce-1768.nexus","508","1653","0.307320024198427","36","8.93143105002925e-05"
"285","uce-177.nexus","642","1783","0.360067302299495","30","2.35942896733511e-05"
"286","uce-1770.nexus","298","2026","0.147087857847976","56","1.30632187198257e-05"
"287","uce-1774.nexus","624","1646","0.37910085054678","36","2.7754816886782e-05"
"288","uce-1775.nexus","765","1829","0.418261344997266","44","2.27705344865873e-05"
"289","uce-1776.nexus","748","1717","0.435643564356436","34","3.66444066839888e-05"
"290","uce-178.nexus","623","1745","0.35702005730659","56","9.19331591346743e-05"
"291","uce-1780.nexus","752","2044","0.367906066536204","34","3.15907836503245e-05"
"292","uce-1781.nexus","635","1839","0.345296356715606","40","3.34423317883036e-05"
"293","uce-1782.nexus","700","1529","0.457815565729235","40","0.000150357643726716"
"294","uce-1783.nexus","798","1916","0.416492693110647","44","1.46075232935668e-05"
"295","uce-1786.nexus","564","1918","0.294056308654849","44","1.73210546078276e-05"
"296","uce-1793.nexus","281","1299","0.216320246343341","48","0.000108753869766997"
"297","uce-1794.nexus","519","2096","0.247614503816794","38","2.11763489505212e-05"
"298","uce-1798.nexus","310","1757","0.176437108708025","58","2.44604892013069e-05"
"299","uce-1804.nexus","588","1787","0.329043088975937","44","3.82119473947265e-05"
"300","uce-1805.nexus","642","2040","0.314705882352941","42","3.05644938094313e-05"
"301","uce-1806.nexus","608","2462","0.246953696181966","36","6.47502116559939e-05"
"302","uce-181.nexus","681","1442","0.472260748959778","36","7.13290309109745e-05"
"303","uce-1813.nexus","892","2014","0.442899702085402","46","4.01630563484411e-05"
"304","uce-1814.nexus","741","1917","0.386541471048513","38","9.3336682473457e-05"
"305","uce-1816.nexus","823","1601","0.514053716427233","40","0.000140354151695028"
"306","uce-1817.nexus","786","1896","0.414556962025316","48","0.000160248700327033"
"307","uce-1822.nexus","629","2075","0.303132530120482","34","4.67134195502124e-05"
"308","uce-1823.nexus","595","1662","0.358002406738869","44","1.37229392199688e-05"
"309","uce-1826.nexus","474","1992","0.237951807228916","36","3.55523645276395e-05"
"310","uce-1828.nexus","766","1887","0.405935347111818","40","4.98907953785393e-05"
"311","uce-183.nexus","323","1448","0.223066298342541","54","0.000115093672512818"
"312","uce-1830.nexus","357","2032","0.175688976377953","44","2.7626051346496e-06"
"313","uce-1832.nexus","817","1739","0.469810235767683","36","2.30619487717086e-05"
"314","uce-1834.nexus","510","2621","0.194582220526517","52","8.92253690239885e-06"
"315","uce-1835.nexus","685","1739","0.393904542840713","36","0.000168527761609363"
"316","uce-1836.nexus","509","2041","0.249387555120039","44","4.37325072861534e-05"
"317","uce-1841.nexus","771","2050","0.37609756097561","44","7.01454144568566e-05"
"318","uce-1842.nexus","817","1693","0.482575310100413","38","4.85728890453295e-05"
"319","uce-1843.nexus","333","1854","0.179611650485437","58","5.83741542844494e-05"
"320","uce-1849.nexus","707","2017","0.350520575111552","38","2.31923769482038e-05"
"321","uce-185.nexus","661","1933","0.341955509570616","26","2.82757857616148e-05"
"322","uce-1858.nexus","723","1738","0.415995397008055","38","3.16101964036977e-05"
"323","uce-1860.nexus","610","1851","0.329551593733117","42","3.69614029543428e-05"
"324","uce-1863.nexus","638","2020","0.315841584158416","40","1.3877688931102e-05"
"325","uce-1865.nexus","825","1908","0.432389937106918","46","0.00013082659834996"
"326","uce-1869.nexus","666","1861","0.357872111767867","34","2.82460833652786e-05"
"327","uce-1879.nexus","367","1799","0.204002223457476","48","5.48588488914121e-05"
"328","uce-188.nexus","501","1716","0.291958041958042","46","4.88859846391574e-05"
"329","uce-1880.nexus","670","2050","0.326829268292683","32","7.35866332694754e-05"
"330","uce-1886.nexus","560","1704","0.328638497652582","36","6.5282959914833e-05"
"331","uce-1888.nexus","847","2002","0.423076923076923","34","8.24931491832205e-06"
"332","uce-1891.nexus","579","1717","0.337216074548631","36","0.00020208714327739"
"333","uce-1892.nexus","925","1827","0.506294471811713","20","4.88885396480641e-05"
"334","uce-1896.nexus","530","1844","0.287418655097614","32","4.80706557126491e-05"
"335","uce-1897.nexus","487","2106","0.231244064577398","52","1.88020965842827e-05"
"336","uce-1898.nexus","538","1883","0.285714285714286","50","1.536444169098e-05"
"337","uce-1899.nexus","862","1978","0.435793731041456","40","5.98615643866976e-05"
"338","uce-190.nexus","591","1613","0.366398016119033","48","2.6681111960369e-05"
"339","uce-1900.nexus","664","1316","0.504559270516717","40","0.000725192394064019"
"340","uce-1903.nexus","634","1761","0.360022714366837","38","3.28719899269219e-05"
"341","uce-1908.nexus","755","1877","0.402237613212573","58","0.000122907364944096"
"342","uce-191.nexus","626","2099","0.298237255836112","48","2.76084364248138e-05"
"343","uce-1911.nexus","100","1213","0.0824402308326463","98","0.000104263455448339"
"344","uce-1913.nexus","835","1842","0.453311617806732","24","7.62658954637417e-05"
"345","uce-1914.nexus","702","1862","0.377013963480129","36","2.63059231042559e-05"
"346","uce-1919.nexus","687","1751","0.392347230154198","30","0.000117034535272787"
"347","uce-192.nexus","648","1799","0.360200111172874","44","1.56766462706529e-05"
"348","uce-1920.nexus","916","2055","0.445742092457421","34","3.30164292393954e-05"
"349","uce-1922.nexus","538","1767","0.304470854555744","32","1.82800140747463e-05"
"350","uce-1925.nexus","518","2077","0.249398170438132","34","3.08203085311284e-05"
"351","uce-1928.nexus","640","1554","0.411840411840412","22","5.85745469714598e-05"
"352","uce-1929.nexus","966","1946","0.496402877697842","26","4.32448684361029e-05"
