"","loc","Tre","seq.len","var.sites","var.frac","lambda","log10lambda","LR","RF","p","df"
"83","uce-1211.nexus","uce-1211.treefile","1943","836","0.430262480699949","0.001","-3","54401.2303308227","18","0","58"
"84","uce-1217.nexus","uce-1217.treefile","1638","654","0.399267399267399","100","2","36082.383777127","36","0","58"
"85","uce-1222.nexus","uce-1222.treefile","1255","493","0.392828685258964","0.001","-3","40284.6760304392","32","0","58"
"86","uce-1224.nexus","uce-1224.treefile","1564","711","0.45460358056266","100","2","37813.9873124097","20","0","58"
"87","uce-1231.nexus","uce-1231.treefile","1982","577","0.291120080726539","100","2","56379.476259727","12","0","58"
"88","uce-1232.nexus","uce-1232.treefile","1857","610","0.328486806677437","100","2","51146.9251568738","22","0","58"
"89","uce-1239.nexus","uce-1239.treefile","1927","543","0.281785158277115","0.001","-3","63249.0719617367","24","0","58"
"90","uce-124.nexus","uce-124.treefile","1821","651","0.357495881383855","100","2","51287.6991094725","30","0","58"
"91","uce-1242.nexus","uce-1242.treefile","2041","472","0.231259186673199","0.001","-3","61863.5583824185","32","0","58"
"92","uce-1243.nexus","uce-1243.treefile","2068","546","0.264023210831721","0.001","-3","66658.1607856434","30","0","58"
"93","uce-1245.nexus","uce-1245.treefile","1949","717","0.367880964597229","1","0","53785.2411346695","22","0","58"
"94","uce-1246.nexus","uce-1246.treefile","1906","641","0.336306400839454","0.001","-3","53807.254271902","16","0","58"
"95","uce-1250.nexus","uce-1250.treefile","2589","718","0.277327153341058","0.001","-3","77664.6073632204","20","0","58"
"96","uce-1252.nexus","uce-1252.treefile","1729","785","0.45401966454598","100","2","33830.9941548056","20","0","58"
"97","uce-1256.nexus","uce-1256.treefile","1991","750","0.376695128076344","100","2","47438.6503227264","26","0","58"
"98","uce-1259.nexus","uce-1259.treefile","1836","582","0.316993464052288","0.001","-3","56129.3303217862","46","0","58"
"99","uce-1260.nexus","uce-1260.treefile","2120","242","0.114150943396226","0.001","-3","64231.8039971851","38","0","58"
"100","uce-1263.nexus","uce-1263.treefile","1830","684","0.373770491803279","0.001","-3","51862.3797321087","26","0","58"
"101","uce-1264.nexus","uce-1264.treefile","1934","751","0.388314374353671","0.001","-3","58633.8859434462","24","0","58"
"102","uce-1265.nexus","uce-1265.treefile","2005","548","0.273316708229426","100","2","56584.3730839827","18","0","58"
"103","uce-1267.nexus","uce-1267.treefile","2085","438","0.210071942446043","100","2","69689.614047521","28","0","58"
"104","uce-127.nexus","uce-127.treefile","2082","386","0.185398655139289","0.001","-3","66854.1587041425","32","0","58"
"105","uce-1271.nexus","uce-1271.treefile","1006","354","0.351888667992048","1","0","25905.5262284661","44","0","58"
"106","uce-1272.nexus","uce-1272.treefile","1954","724","0.370522006141249","0.001","-3","56063.8380223402","22","0","58"
"107","uce-1276.nexus","uce-1276.treefile","1599","517","0.32332707942464","100","2","39533.3098762852","20","0","58"
"108","uce-1277.nexus","uce-1277.treefile","1966","788","0.400813835198372","100","2","46863.2199493807","14","0","58"
"109","uce-1278.nexus","uce-1278.treefile","1961","646","0.329423763386028","100","2","51787.5044003076","24","0","58"
"110","uce-1281.nexus","uce-1281.treefile","2051","539","0.262798634812287","100","2","59591.0949865001","16","0","58"
"111","uce-1285.nexus","uce-1285.treefile","1361","610","0.448199853049228","0.001","-3","33280.408643738","20","0","58"
"112","uce-1288.nexus","uce-1288.treefile","2072","431","0.208011583011583","1","0","76464.7092172511","20","0","58"
"113","uce-129.nexus","uce-129.treefile","2115","771","0.364539007092199","100","2","57160.6997811406","16","0","58"
"114","uce-1290.nexus","uce-1290.treefile","2062","567","0.274975751697381","0.001","-3","67686.4912653419","20","0","58"
"115","uce-1291.nexus","uce-1291.treefile","1890","676","0.357671957671958","0.001","-3","60287.4975409646","18","0","58"
"116","uce-1295.nexus","uce-1295.treefile","1878","631","0.335995740149095","0.001","-3","58247.2804138955","26","0","58"
"117","uce-1297.nexus","uce-1297.treefile","1075","389","0.361860465116279","100","2","28160.2457109619","34","0","58"
"118","uce-1298.nexus","uce-1298.treefile","2043","636","0.311306901615272","0.001","-3","69683.989098849","22","0","58"
"119","uce-1300.nexus","uce-1300.treefile","1721","819","0.47588611272516","100","2","41462.1602091873","26","0","58"
"120","uce-1301.nexus","uce-1301.treefile","1898","736","0.387776606954689","100","2","42741.3348769158","18","0","58"
"121","uce-1304.nexus","uce-1304.treefile","1986","580","0.292044310171198","0.001","-3","61763.4625648147","28","0","58"
"122","uce-1306.nexus","uce-1306.treefile","1812","739","0.407836644591611","100","2","47283.158763906","16","0","58"
"123","uce-1307.nexus","uce-1307.treefile","1680","493","0.293452380952381","0.001","-3","50003.7051185503","30","0","58"
"124","uce-1309.nexus","uce-1309.treefile","2097","174","0.0829756795422032","100","2","68534.6392332475","38","0","58"
"125","uce-131.nexus","uce-131.treefile","1926","600","0.311526479750779","100","2","54533.7040172257","30","0","58"
"126","uce-1311.nexus","uce-1311.treefile","2008","733","0.36503984063745","100","2","42223.4384353972","16","0","58"
"127","uce-1322.nexus","uce-1322.treefile","2095","819","0.390930787589499","100","2","46338.9213182043","12","0","58"
"128","uce-1323.nexus","uce-1323.treefile","2034","611","0.30039331366765","100","2","57630.2458683941","28","0","58"
"129","uce-1324.nexus","uce-1324.treefile","1406","270","0.19203413940256","0.001","-3","52966.4312151606","54","0","58"
"130","uce-1326.nexus","uce-1326.treefile","2057","722","0.350996596985902","1","0","65383.6842446396","30","0","58"
"131","uce-1333.nexus","uce-1333.treefile","1817","523","0.287837094111172","0.001","-3","58493.2915311554","30","0","58"
"132","uce-134.nexus","uce-134.treefile","2139","437","0.204301075268817","1","0","80793.7538427686","32","0","58"
"133","uce-1342.nexus","uce-1342.treefile","1519","559","0.368005266622778","100","2","36132.279484481","18","0","58"
"134","uce-1344.nexus","uce-1344.treefile","2080","616","0.296153846153846","100","2","56817.027990259","24","0","58"
"135","uce-1348.nexus","uce-1348.treefile","2214","757","0.341915085817525","100","2","57749.6931981799","20","0","58"
"136","uce-1349.nexus","uce-1349.treefile","1924","687","0.357068607068607","100","2","45096.818390244","28","0","58"
"137","uce-1350.nexus","uce-1350.treefile","1968","771","0.391768292682927","0.001","-3","49715.2363823082","14","0","58"
"138","uce-1357.nexus","uce-1357.treefile","2271","483","0.212681638044914","0.001","-3","70002.0060277545","28","0","58"
"139","uce-1358.nexus","uce-1358.treefile","1761","157","0.0891538898353208",NA,NA,NA,"60",NA,"58"
"140","uce-136.nexus","uce-136.treefile","1890","784","0.414814814814815","100","2","44151.228370957","20","0","58"
"141","uce-1360.nexus","uce-1360.treefile","1895","653","0.344591029023747","100","2","41870.3407772172","20","0","58"
"142","uce-1361.nexus","uce-1361.treefile","2016","433","0.214781746031746","1","0","68352.9260850594","26","0","58"
"143","uce-1362.nexus","uce-1362.treefile","1935","600","0.310077519379845","0.001","-3","55162.3200335996","26","0","58"
"144","uce-1366.nexus","uce-1366.treefile","1951","760","0.389543823680164","100","2","40813.8833299865","30","0","58"
"145","uce-1368.nexus","uce-1368.treefile","1970","523","0.265482233502538","0.001","-3","57543.9790829194","18","0","58"
"146","uce-1371.nexus","uce-1371.treefile","1994","823","0.412738214643932","100","2","39962.9324115385","14","0","58"
"147","uce-1374.nexus","uce-1374.treefile","1962","740","0.377166156982671","1","0","47453.3915120744","18","0","58"
"148","uce-1375.nexus","uce-1375.treefile","1548","643","0.415374677002584","100","2","40205.0973480832","18","0","58"
"149","uce-1381.nexus","uce-1381.treefile","1679","754","0.44907683144729","100","2","36180.342190654","16","0","58"
"150","uce-1383.nexus","uce-1383.treefile","1995","667","0.334335839598997","1","0","60652.3237236908","18","0","58"
"151","uce-1385.nexus","uce-1385.treefile","2051","741","0.361287176986836","100","2","53816.4868528857","16","0","58"
"152","uce-1389.nexus","uce-1389.treefile","2043","743","0.363680861478218","100","2","43060.1333232808","10","0","58"
"153","uce-1390.nexus","uce-1390.treefile","2102","858","0.408182683158896","100","2","50223.6833959731","20","0","58"
"154","uce-1393.nexus","uce-1393.treefile","2046","465","0.227272727272727","0.001","-3","68087.131941689","34","0","58"
"155","uce-1394.nexus","uce-1394.treefile","1872","294","0.157051282051282","1","0","68272.2951678977","24","0","58"
"156","uce-1395.nexus","uce-1395.treefile","1488","672","0.451612903225806","1","0","37612.1059181706","34","0","58"
"157","uce-14.nexus","uce-14.treefile","2064","712","0.344961240310078","100","2","57959.1901589742","34","0","58"
"158","uce-1402.nexus","uce-1402.treefile","1933","866","0.448008277289188","100","2","48078.9771764002","16","0","58"
"159","uce-1408.nexus","uce-1408.treefile","2163","1065","0.492371705963939","100","2","48894.3689173644","14","0","58"
"160","uce-1410.nexus","uce-1410.treefile","1682","751","0.446492271105826","100","2","43902.6621207009","16","0","58"
"161","uce-1412.nexus","uce-1412.treefile","1981","713","0.359919232710752","100","2","42492.8928454282","14","0","58"
"162","uce-1417.nexus","uce-1417.treefile","2006","389","0.193918245264207","100","2","59575.4546151796","32","0","58"
"163","uce-142.nexus","uce-142.treefile","1225","443","0.361632653061224","0.001","-3","35020.9462751165","10","0","58"
"164","uce-1420.nexus","uce-1420.treefile","2024","530","0.261857707509881","1","0","68646.0764163172","24","0","58"
"165","uce-1422.nexus","uce-1422.treefile","2680","661","0.246641791044776","100","2","58653.6630780206","18","0","58"
"166","uce-1423.nexus","uce-1423.treefile","1778","544","0.305961754780652","0.001","-3","52585.0402701973","24","0","58"
"167","uce-1425.nexus","uce-1425.treefile","1864","612","0.328326180257511","100","2","50718.422696064","22","0","58"
"168","uce-1427.nexus","uce-1427.treefile","2104","653","0.310361216730038","100","2","57162.0928639019","18","0","58"
"169","uce-1434.nexus","uce-1434.treefile","2029","620","0.305569245933958","100","2","57395.0683594218","24","0","58"
"170","uce-1435.nexus","uce-1435.treefile","1991","436","0.218985434455048","100","2","57228.1401494587","26","0","58"
"171","uce-1438.nexus","uce-1438.treefile","1678","583","0.347437425506555","100","2","42711.4533320725","26","0","58"
"172","uce-144.nexus","uce-144.treefile","1725","647","0.375072463768116","100","2","44805.3337269622","22","0","58"
"173","uce-1442.nexus","uce-1442.treefile","1754","671","0.382554161915621","100","2","46784.7399642214","14","0","58"
"174","uce-1450.nexus","uce-1450.treefile","2061","616","0.298884036875303","100","2","60306.2246005696","26","0","58"
"175","uce-1451.nexus","uce-1451.treefile","1812","958","0.528697571743929","100","2","36109.8510427993","20","0","58"
"176","uce-1453.nexus","uce-1453.treefile","1739","433","0.248993674525589","100","2","43852.8914640401","34","0","58"
"177","uce-1454.nexus","uce-1454.treefile","2044","780","0.38160469667319","100","2","48095.8162024452","14","0","58"
"178","uce-1456.nexus","uce-1456.treefile","1978","666","0.336703741152679","0.001","-3","57189.5994599949","18","0","58"
"179","uce-1458.nexus","uce-1458.treefile","1531","480","0.31352057478772","100","2","42232.0524712085","26","0","58"
"180","uce-146.nexus","uce-146.treefile","1901","707","0.371909521304577","1","0","50778.8575022569","30","0","58"
"181","uce-1463.nexus","uce-1463.treefile","1966","745","0.378942014242116","100","2","53375.5005351447","26","0","58"
"182","uce-1469.nexus","uce-1469.treefile","2063","679","0.329132331555986","0.001","-3","66845.3872593479","24","0","58"
"183","uce-1470.nexus","uce-1470.treefile","1416","387","0.273305084745763","100","2","40295.8774561618","26","0","58"
"184","uce-1474.nexus","uce-1474.treefile","1906","732","0.38405036726128","0.001","-3","60456.8600180661","20","0","58"
"185","uce-1476.nexus","uce-1476.treefile","991","429","0.432896064581231","100","2","25692.8965639382","26","0","58"
"186","uce-1478.nexus","uce-1478.treefile","1881","649","0.345029239766082","100","2","46089.1006193213","20","0","58"
"187","uce-1482.nexus","uce-1482.treefile","1702","696","0.408930669800235","100","2","40050.4379573487","22","0","58"
"188","uce-1483.nexus","uce-1483.treefile","1829","608","0.332422088572991","100","2","47717.2050038474","18","0","58"
"189","uce-1485.nexus","uce-1485.treefile","2003","753","0.375936095856216","100","2","53289.4705995289","16","0","58"
"190","uce-149.nexus","uce-149.treefile","2057","549","0.266893534273213","100","2","49986.9437889598","22","0","58"
"191","uce-1490.nexus","uce-1490.treefile","2070","698","0.33719806763285","100","2","57851.4706679747","14","0","58"
"192","uce-1497.nexus","uce-1497.treefile","2028","596","0.293885601577909","0.001","-3","64543.1270281357","16","0","58"
"193","uce-15.nexus","uce-15.treefile","1871","464","0.247995724211652","1","0","51577.2277050791","16","0","58"
"194","uce-1500.nexus","uce-1500.treefile","1938","853","0.440144478844169","100","2","40878.1722474967","6","0","58"
"195","uce-1512.nexus","uce-1512.treefile","2001","637","0.318340829585207","100","2","52015.3774696946","18","0","58"
"196","uce-1514.nexus","uce-1514.treefile","1245","423","0.339759036144578","1","0","42806.3993972741","30","0","58"
"197","uce-1520.nexus","uce-1520.treefile","1955","869","0.444501278772378","100","2","41403.8779050417","18","0","58"
"198","uce-1523.nexus","uce-1523.treefile","1831","696","0.380120152921901","0.001","-3","52765.4002178555","28","0","58"
"199","uce-1526.nexus","uce-1526.treefile","1663","428","0.257366205652435","1","0","40908.2634641965","34","0","58"
"200","uce-1529.nexus","uce-1529.treefile","1802","678","0.376248612652608","1","0","48751.8570786127","26","0","58"
"201","uce-153.nexus","uce-153.treefile","2024","804","0.397233201581028","100","2","48006.2128959801","20","0","58"
"202","uce-1531.nexus","uce-1531.treefile","1953","696","0.356374807987711","1","0","60152.5150205698","22","0","58"
"203","uce-1538.nexus","uce-1538.treefile","1584","602","0.380050505050505","100","2","43046.75950656","28","0","58"
"204","uce-1539.nexus","uce-1539.treefile","1819","589","0.323804288070368","0.001","-3","53358.5042456713","14","0","58"
"205","uce-154.nexus","uce-154.treefile","1807","206","0.114001106806862","0.001","-3","57129.6269010407","58","0","58"
"206","uce-1544.nexus","uce-1544.treefile","1966","529","0.269074262461851","0.001","-3","61232.5481099357","20","0","58"
"207","uce-1547.nexus","uce-1547.treefile","1829","398","0.21760524876982","0.001","-3","58934.7105065977","32","0","58"
"208","uce-1550.nexus","uce-1550.treefile","1655","645","0.389728096676737","100","2","32219.586079093","36","0","58"
"209","uce-1552.nexus","uce-1552.treefile","2052","614","0.299220272904483","100","2","59167.7083837787","24","0","58"
"210","uce-1556.nexus","uce-1556.treefile","1736","520","0.299539170506912","100","2","49431.8629007689","26","0","58"
"211","uce-1558.nexus","uce-1558.treefile","1606","753","0.468866749688667","100","2","35652.9584839087","34","0","58"
"212","uce-1560.nexus","uce-1560.treefile","1689","503","0.297809354647721","0.001","-3","50622.9827618988","32","0","58"
"213","uce-1562.nexus","uce-1562.treefile","1464","422","0.288251366120219","0.001","-3","38664.6812149713","24","0","58"
"214","uce-1564.nexus","uce-1564.treefile","1796","890","0.49554565701559","1","0","30395.3141591086","14","0","58"
"215","uce-1566.nexus","uce-1566.treefile","2020","487","0.241089108910891","0.001","-3","56164.5410587586","26","0","58"
"216","uce-1570.nexus","uce-1570.treefile","2070","542","0.261835748792271","0.001","-3","61712.8668741752","12","0","58"
"217","uce-1573.nexus","uce-1573.treefile","2066","603","0.291868344627299","0.001","-3","63399.8468428941","24","0","58"
"218","uce-1576.nexus","uce-1576.treefile","2002","649","0.324175824175824","100","2","47343.314493722","18","0","58"
"219","uce-1582.nexus","uce-1582.treefile","1952","579","0.296618852459016","100","2","59094.8189617011","22","0","58"
"220","uce-1588.nexus","uce-1588.treefile","1597","504","0.315591734502192","100","2","44321.6886723553","24","0","58"
"221","uce-1591.nexus","uce-1591.treefile","1797","665","0.370061213132999","0.001","-3","57944.440220144","16","0","58"
"222","uce-1597.nexus","uce-1597.treefile","2031","487","0.239783357951748","0.001","-3","68399.6782342798","26","0","58"
"223","uce-1598.nexus","uce-1598.treefile","2198","773","0.351683348498635","0.001","-3","67880.921087752","24","0","58"
"224","uce-16.nexus","uce-16.treefile","2076","617","0.297206165703276","0.001","-3","62191.9109000978","26","0","58"
"225","uce-1601.nexus","uce-1601.treefile","1858","714","0.384284176533907","100","2","43087.6196313672","20","0","58"
"226","uce-1602.nexus","uce-1602.treefile","1855","576","0.310512129380054","100","2","46493.9701468356","20","0","58"
"227","uce-1606.nexus","uce-1606.treefile","1751","580","0.331239291833238","100","2","36855.9641247665","22","0","58"
"228","uce-1611.nexus","uce-1611.treefile","1321","331","0.250567751703255","1","0","31196.8107168282","48","0","58"
"229","uce-1621.nexus","uce-1621.treefile","1313","340","0.258948971820259","100","2","36122.8574774276","24","0","58"
"230","uce-1622.nexus","uce-1622.treefile","1748","628","0.359267734553776","100","2","32287.9038034807","18","0","58"
"231","uce-1624.nexus","uce-1624.treefile","2033","654","0.321692080668962","0.001","-3","62502.1556699628","18","0","58"
"232","uce-1625.nexus","uce-1625.treefile","2095","545","0.260143198090692","0.001","-3","62942.9412216019","20","0","58"
"233","uce-1629.nexus","uce-1629.treefile","1847","481","0.26042230644288","1","0","50778.9351947211","32","0","58"
"234","uce-1631.nexus","uce-1631.treefile","1840","624","0.339130434782609","100","2","48687.7021989847","16","0","58"
"235","uce-1633.nexus","uce-1633.treefile","1909","363","0.190151911995809","1","0","63874.8623947142","28","0","58"
"236","uce-1645.nexus","uce-1645.treefile","1909","693","0.363017286537454","100","2","52687.0373277032","24","0","58"
"237","uce-1648.nexus","uce-1648.treefile","1969","595","0.302183849669883","0.001","-3","57520.2300379068","26","0","58"
"238","uce-1652.nexus","uce-1652.treefile","2065","470","0.227602905569007","100","2","65009.3222016228","20","0","58"
"239","uce-1653.nexus","uce-1653.treefile","1980","358","0.180808080808081","1","0","72799.417510786","36","0","58"
"240","uce-1660.nexus","uce-1660.treefile","2163","666","0.307905686546463","100","2","60594.616011658","18","0","58"
"241","uce-1662.nexus","uce-1662.treefile","1933","629","0.325400931195034","100","2","54800.8982240273","14","0","58"
"242","uce-1667.nexus","uce-1667.treefile","2024","602","0.297430830039526","0.001","-3","54448.3309635155","22","0","58"
"243","uce-1675.nexus","uce-1675.treefile","1937","740","0.382034073309241","1","0","48037.6253689346","20","0","58"
"244","uce-1677.nexus","uce-1677.treefile","1865","677","0.363002680965147","100","2","51766.3438330683","20","0","58"
"245","uce-1678.nexus","uce-1678.treefile","2099","638","0.303954263935207","100","2","56517.7593981496","26","0","58"
"246","uce-1683.nexus","uce-1683.treefile","2155","525","0.243619489559165","1","0","82052.1953855912","26","0","58"
"247","uce-1689.nexus","uce-1689.treefile","1232","379","0.30762987012987","0.001","-3","29655.2961429761","32","0","58"
"248","uce-1690.nexus","uce-1690.treefile","1900","848","0.446315789473684","100","2","39187.3718623568","18","0","58"
"249","uce-1694.nexus","uce-1694.treefile","1895","800","0.422163588390501","100","2","50484.3686606346","14","0","58"
"250","uce-170.nexus","uce-170.treefile","2002","800","0.3996003996004","100","2","57004.8419756012","26","0","58"
